"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"158","19-0158","RUA DOUTOR MÁRIO GUIMARÃES, 968 - EDIFÍCIO DO FÓRUM - ANEXO - 4 ANDAR","26255230","BAIRRO DA LUZ","NOVA IGUAÇU","RJ"
"159","19-0159","RUA CEL. BERNARDINO DE MELLO 2585, CENTRO - NOVA IGUAÇU / RJ","26255140","CENTRO","NOVA IGUAÇU","RJ"
"161","19-0161","RUA LUCENA, S/N,OLARIA (ANTIGO FÓRUM,ATRÁS DO CLUBE OLARIA) 21.021-320","21021320","OLARIA","RIO DE JANEIRO","RJ"
"162","19-0162","RUA FILOMENA NUNES, 961","21021380","OLARIA","RIO DE JANEIRO","RJ"
"167","19-0167","RUA ITAPERA, 500, LOJAS 150 E 151 (VIA BRASIL SHOPPING)","21230500","IRAJÁ","RIO DE JANEIRO","RJ"
"169","19-0169","RUA SACADURA CABRAL, 226, FUNDOS","20221161","SAUDE","RIO DE JANEIRO","RJ"
"170","19-0170","AV. PROFESSOR MANOEL DE ABREU, 286","20550170","MARACANÃ","RIO DE JANEIRO","RJ"
"172","19-0172","ESTRADA DA USINA VELHA, RUA DOIS, S/N, EDIFICIO DO FORUM","28950000","CENTRO","ARMAÇÃO DOS BÚZIOS","RJ"
"174","19-0174","AV. TENENTE ENEAS TORNO 42, SALA 27 - EDIFICIO DO FORUM","25802330","NOVA NITERÓI","TRÊS RIOS","RJ"
"176","19-0176","AV MONSENHOR FELIX, 512","21235110","IRAJÁ","RIO DE JANEIRO","RJ"
"179","19-0179","AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA","22775002","BARRA DA TIJUCA","RIO DE JANEIRO","RJ"
"180","19-0180","RUA GODOFREDO VIANA, 400","22730020","TAQUARA","RIO DE JANEIRO","RJ"
"181","19-0181","RUA ENGENHEIRO NEVES DA ROCHA, S/N - PRÉDIO DO FÓRUM","28960000","CIDADE NOVA","IGUABA GRANDE","RJ"
"182","19-0182","RUA GODOFREDO VIANA, 400","22730020","TAQUARA","RIO DE JANEIRO","RJ"
"183","19-0183","RUA HILÁRIO ETTORE, 378","27570000","CENTRO (PORTO REAL)","PORTO REAL","RJ"
"184","19-0184","AVENIDA GUANABARA, N 3.837","28893158","BOSQUE DA PRAIA","RIO DAS OSTRAS","RJ"
"185","19-0185","RUA GODOFREDO VIANA, 400","22730020","TAQUARA","RIO DE JANEIRO","RJ"
"186","19-0186","AVENIDA PRESIDENTE LINCOLN, 911 - VILAR DOS TELES","25555201","VILAR DOS TELES","SÃO JOÃO DE MERITI","RJ"
"187","19-0187","AV PRESIDENTE LINCOLN, 911 (ED. ANTARES LOJA EXTERNA)","25555200","VILAR DOS TELES","SÃO JOÃO DE MERITI","RJ"
"188","19-0188","AV. VICENTE DE CARVALHO, 909, LJ. 115/116, 2 PISO, CARIOCA SHOPPING","21210623","VILA DA PENHA","RIO DE JANEIRO","RJ"
"191","19-0191","ESTRADA DA CACUIA, 1574","21921001","ILHA DO GOVERNADOR","RIO DE JANEIRO","RJ"
"192","19-0192","RUA ORCADAS 435 - SALA 12 - XX RA (SUBPREFEITURA DAS ILHAS)","21920257","PORTUGUESA","RIO DE JANEIRO","RJ"
"195","19-0195","RUA ALICE QUINTELA MAURICI REGADAS, 66, LJ 07","25953240","VÁRZEA","TERESÓPOLIS","RJ"
"196","19-0196","RUA SENHOR DOS PASSOS, 37 - EDIFÍCIO DO FÓRUM","25780000","CENTRO","SÃO JOSÉ DO VALE DO RIO PRETO","RJ"
"198","19-0198","AVENIDA DORIVAL MARCONDES GODOY, 500 - SHOPPING PÁTIO MIX","27535320","Castelo","RESENDE","RJ"
"199","19-0199","RUA VISCONDE DE SEPETIBA 987 FUNDOS - 2 ANDAR","24020200","CENTRO","NITERÓI","RJ"
"200","19-0200","AVENIDA BRIGADEIRO LIMA E SILVA, 350","25085132","PARQUE DUQUE","DUQUE DE CAXIAS","RJ"
"201","19-0201","RUA PEDRO ÁLVARES CABRAL, 305, 2 ANDAR, EDIFÍCIO DA PREFEITURA","26525051","CENTRO","NILÓPOLIS","RJ"
"204","19-0204","RUA SACADURA CABRAL, 226","20221161","SAUDE","RIO DE JANEIRO","RJ"
"211","19-0211","RUA JARDIM BOTÂNICO, 1060","22460000","JARDIM BOTÂNICO","RIO DE JANEIRO","RJ"
"214","19-0214","RUA DIAS DA CRUZ, 787","20720011","MEIER","RIO DE JANEIRO","RJ"
"216","19-0216","AVENIDA DOM HÉLDER CÂMARA, 4175, 2 ANDAR","20771001","DEL CASTILHO","RIO DE JANEIRO","RJ"
